compound,spacegroup,grueneisen_parameter,bulk_modulus,poisson_ratio,heat_capacity,thermal_conductivity,thermal_expansion,material_type,debye_temperature
Sr2Zn26,226,2.37364,50.475,0.200988,86.2982,1.09856,0.000113322,Metal,324.063
Mg6Mn1O8,225,2.06076,138.834,0.202998,32.8671,9.91502,4.20E-05,Non-Metal,810.063
Ca2N2Ni2,131,1.82748,97.1992,0.28316,16.3509,9.45342,4.56E-05,Metal,476.917
Al2Pt2Ti2,194,2.24419,142.29,0.332239,17.4607,4.61441,3.86E-05,Metal,323.959
Ba1H3Li1,221,1.7335,13.3729,0.340472,16.3383,0.769721,0.000201215,Non-Metal,195.039
Ru6Th14,186,1.99974,89.9169,0.349619,59.9968,1.25987,3.02E-05,Metal,182.965
Mn1Ni4Y1,216,2.33822,100.625,0.319404,17.7321,3.18049,6.35E-05,Metal,336.09
Ge2Y2,63,2.05816,74.0736,0.216731,11.5619,9.4051,4.66E-05,Metal,350.904
Dy1Hg2,191,2.54132,57.9074,0.3022,9.37104,2.04947,7.34E-05,Metal,173.068
O8P2Tb2,141,2.03167,175.518,0.30563,31.4713,7.14384,3.28E-05,Non-Metal,538.082
Dy5S7,12,1.92514,78.9693,0.288866,35.186,3.34863,4.18E-05,Metal,296.083
Li2O1,225,1.84982,66.3555,0.160425,6.41937,19.3402,8.82E-05,Non-Metal,862.689
Ca4O12Ti4,62,2.01302,165.84,0.250907,46.063,8.4113,3.19E-05,Non-Metal,737.007
Bi1Ni1Zr1,216,2.26949,96.0488,0.331012,8.99889,4.36209,4.59E-05,Metal,243.021
Na2S1,225,2.0229,23.2006,0.241592,9.23297,3.52548,0.000141086,Non-Metal,340.142
Bi1Nd1,225,2.00776,45.3614,0.277219,6.08973,4.98708,5.19E-05,Metal,175.96
Ca4Mn4O12,194,2.32855,132.1,0.30091,52.2381,3.07098,5.22E-05,Non-Metal,576.016
B2C2Li2,194,1.67767,168.838,0.1662,7.84736,53.3418,2.22E-05,Non-Metal,1336.09
Dy8Se12,62,1.90869,68.8812,0.278823,59.488,2.02021,4.48E-05,Non-Metal,252.96
Br4Na4O12,198,2.18637,69.6959,0.255705,55.6273,2.41482,7.16E-05,Non-Metal,481.858
Mn4O10Sr4,55,2.27568,110.877,0.264321,49.1569,3.34065,5.54E-05,Non-Metal,498.828
Ba2Bi3,71,2.07941,28.6783,0.286299,15.552,1.3491,7.43E-05,Metal,139.992
C2U1,225,1.91772,186.088,0.314771,8.45952,15.6025,2.93E-05,Metal,382.995
N2Tl2,186,2.42431,78.733,0.319321,12.2373,2.57656,6.77E-05,Metal,238.111
Cu1Dy1,221,1.91502,61.8805,0.293597,6.04061,6.26072,5.86E-05,Metal,225.004
La3Mg3Pd3,189,1.94119,54.7223,0.33892,27.2624,1.58069,5.80E-05,Metal,212.999
Al1Pd1,221,2.26346,139.423,0.344845,5.78588,8.60186,4.33E-05,Metal,350.915
Er4Ge6Os7,229,2.16033,168.094,0.291372,49.2571,3.77668,2.94E-05,Metal,315.976
Al3Pd3Tb3,189,1.99493,87.6736,0.360221,26.9617,1.92727,4.53E-05,Metal,231.02
Mg4N6P2,36,2.00532,162.555,0.258283,25.8711,12.1158,3.20E-05,Non-Metal,822.089
O6Rb4Tb2,36,1.92586,47.0622,0.335463,36.4933,1.27197,7.45E-05,Metal,238.924
Al12Ni4,62,2.09104,103.151,0.258565,42.6283,4.64472,4.89E-05,Metal,531.174
F6V1Zr1,225,2.13575,82.346,0.312018,22.3431,4.11857,5.36E-05,Non-Metal,446.848
Au7Cd16Na6,225,2.8019,33.574,0.359824,98.0302,0.145186,0.000153523,Metal,150.855
Ga1Nb1Ni2,225,2.13841,169.315,0.354955,11.4678,6.63232,3.65E-05,Metal,357.992
As1Gd1,225,1.84896,68.6458,0.217884,5.87401,15.3852,4.14E-05,Metal,286.955
Ti2,194,1.69645,107.071,0.26417,5.40645,30.9134,3.08E-05,Metal,473.019
H1Pd3Tl1,221,2.70508,111.841,0.344895,15.3338,1.94174,6.92E-05,Metal,256.963
Ba2C8O8,140,1.8444,121.036,0.312072,46.7269,5.15933,3.64E-05,Non-Metal,557.011
Au2In1Zr1,225,2.42576,107.816,0.391726,12.2002,1.61793,4.66E-05,Metal,181.984
Ba3O1Sn1,221,2.09528,32.6505,0.217617,15.3554,2.87552,7.66E-05,Metal,217.971
Co2Y2,63,1.84422,52.8208,0.346033,12.0872,2.57575,6.00E-05,Metal,217.012
In1Li2Pt1,216,2.23236,62.0424,0.371922,12.4885,1.33683,9.09E-05,Metal,202.113
Ga3La3Mg3,189,1.83814,45.8007,0.217342,26.7053,3.96112,6.09E-05,Metal,290.07
N4Ta2,191,1.93709,224.415,0.324817,16.4151,11.8232,2.60E-05,Metal,447.08
Cr4Cu2Te8,227,2.25592,45.6284,0.394539,43.6983,0.361188,7.67E-05,Metal,154.979
Mo3Ni3P3,189,2.21158,225.845,0.334146,24.5108,6.82361,2.91E-05,Metal,465.892
Cd2In4O8,227,2.1853,123.377,0.336143,40.3699,2.44862,4.75E-05,Non-Metal,364.131
Pb4S4,31,2.00053,100.867,0.26235,11.5862,10.8818,2.86E-05,Non-Metal,310.955
B1Zr1,225,1.85161,152.759,0.271218,5.29519,32.2494,2.92E-05,Metal,513.936
O1Rb2,225,2.1903,17.3591,0.345643,10.0735,0.70091,0.00019038,Non-Metal,154.993
Pd3V1,139,2.44483,168.398,0.368253,11.7586,4.07099,3.88E-05,Metal,302.092
Ba1Cu2Se2,139,2.23959,50.107,0.313959,15.4117,1.89033,8.04E-05,Non-Metal,226.983
Dy4Ge4In2,127,1.89396,64.3967,0.294441,30.0427,2.36381,5.10E-05,Metal,225.983
Br1H4N1,215,1.64106,52.9074,0.281035,16.4998,5.64689,9.61E-05,Non-Metal,504.897
Al4Er8,62,1.65191,55.1908,0.255592,35.796,3.30151,4.70E-05,Metal,233.001
Al1Re2,139,2.06558,264.35,0.272763,8.29479,27.0053,2.01E-05,Metal,417.982
Cl6Rb2Zr1,225,2.08943,28.9016,0.283688,27.638,1.43125,9.01E-05,Non-Metal,251.871
Pt1Sc1,221,2.15088,125.395,0.360173,5.95098,6.36826,3.72E-05,Metal,244.998
Be2O2,186,1.75834,192.542,0.198299,6.1664,53.2285,2.65E-05,Non-Metal,1181.19
N4,136,1.82395,61.5243,0.257831,9.4381,17.8495,3.62E-05,Non-Metal,703.805
P4S12Th2,84,2.05183,59.3783,0.283829,52.1775,2.32028,4.61E-05,Non-Metal,342.066
Ce2Pd2Sb4,129,2.32772,81.9536,0.28673,23.938,2.76457,4.73E-05,Metal,258.032
Cr2Ho2O8,141,2.05185,150.267,0.305083,32.5096,5.7556,3.67E-05,Non-Metal,483.01
Al10C6N2,186,1.8553,154.797,0.220014,37.1585,13.3806,2.87E-05,Non-Metal,871.193
Al2C2Ti4,194,1.88191,149.285,0.17419,17.995,26.4006,2.62E-05,Metal,761.931
B8Rh8Tb2,137,2.07605,219.975,0.325327,49.4739,4.64926,2.98E-05,Metal,444.9
Cl16Hg12O4,198,2.37251,36.9567,0.336375,101.107,0.294549,9.62E-05,Non-Metal,181.028
Cu1Sc1,221,1.93482,74.4396,0.279048,5.78314,11.3908,5.47E-05,Metal,359.055
Ba6Cr2S10,185,2.06846,48.082,0.286116,54.159,1.37123,6.61E-05,Metal,268.948
Ba10Sn6,140,1.93898,21.4201,0.238555,49.6886,0.857093,8.28E-05,Metal,163.02
Ca4I2N2,194,2.00344,48.996,0.235984,23.568,3.75076,6.84E-05,Non-Metal,335.049
Ca6Ga10,63,2.1847,39.5408,0.212884,48.5575,1.6712,9.46E-05,Metal,311.903
Cd3Te3,152,2.26069,34.1833,0.330324,18.8042,0.939184,8.40E-05,Non-Metal,161.055
Ga3Ni3Ti3,189,2.27241,117.799,0.257741,25.1627,5.56368,5.01E-05,Metal,443.983
Co8Dy6Ge26,223,2.17365,97.5772,0.246546,116.059,1.71436,5.10E-05,Metal,353.991
Dy1Pd1,221,2.05416,82.3848,0.35716,6.05173,4.25013,4.70E-05,Metal,196.055
